"code","uri","label_en","label_fr","scientific_name","species_group_code","is_iotc","is_aggregate"
"REY",,"Spearfish remora","R","Remora brachyptera","RSK",0,0
"RHA",,"Milk shark","Requin à museau pointu","Rhizoprionodon acutus","RSK",0,0
"RHN",,"Whale shark","Requin baleine","Rhincodon typus","SKH",0,0
"RMA",,"Reef manta rays","r","Manta alfredi","SRX",0,0
"RMB",,"Giant Mantas","Manta géant","Manta birostris","SRX",0,0
"RME",,"Longhorned mobula","L","Mobula eregoodootenkee","SRX",0,0
"RMJ",,"Spinetail mobula","Mante aiguillat","Mobula japanica","SRX",0,0
"RMM",,"Devil Ray","D","Mobula mobular","SRX",0,0
"RMO",,"Smoothtail mobula","Mante à queue lisse","Mobula thurstoni","SRX",0,0
"RMT",,"Chilean devil ray","R","Mobula tarapacana","SRX",0,0
"RMV",,"Mobula nei","M","Mobula spp","SRX",0,0
"RRH",,"Red-eye round herring","Shadine ronde","Etrumeus teres","NTAD",0,0
"RRU",,"Rainbow runner","Comète saumon","Elagatis bipinnulata","NTAD",0,0
"RSK",,"Requiem sharks nei","Requins nca","Carcharhinidae","RSK",0,1
"RUS",,"Indian scad","Comète indienne","Decapterus russelli","NTAD",0,0
"RUV",,"Patchwork stingaree","R","Urolophus flavomosaicus","NTAD",0,0
"RZV",,"Slender sunfish","S","Ranzania laevis","NTAD",0,0
"SAG",,"Goldstripe sardinella","Sardinelle dorée","Sardinella gibbosa","NTAD",0,0
"SAI",,"Atlantic sailfish","Voilier Atlantique","Istiophorus albicans","BILL",1,1
"SAP",,"Pacific saury","Saurie","Cololabis saira","NTAD",0,0
"SASP",,"Indo-Pacific sailfish and shortbill spearfish","Voilier indo-pacifique et makaire à rostre court","Istiophorus platypterus; Tetrapturus angustirostris","BILL",1,1
