"code","uri","label_en","label_fr","scientific_name","species_group_code","species_category_code","taxa_family","taxa_order","is_iotc","is_target","is_ssi","is_aggregate","is_asfis"
"THR",,"Thresher sharks nei","Renards de mer nca","Alopias spp","ELASMOBRANCHS","SHARKS","Alopiidae","Lamniformes",0,1,1,1,1
"TIG",,"Tiger shark","Requin tigre commun","Galeocerdo cuvier","ELASMOBRANCHS","SHARKS","Galeocerdonidae","Carcharhiniformes",0,1,0,0,1
"TOA",,"Antarctic toothfish","Légine antarctique","Dissostichus mawsoni","OTHERS","OTHERS","Nototheniidae","Percoidei",0,0,0,0,1
"TQH",,"Indian yellow-nosed albatross","Albatros de l'océan indien","Thalassarche carteri","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"TQW",,"Campbell albatross","Albatros de l'île Campbell","Thalassarche impavida","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"TRB",,"Whitetip reef shark","Requin corail","Triaenodon obesus","ELASMOBRANCHS","SHARKS","Carcharhinidae","Carcharhiniformes",0,1,0,0,1
"TRE",,"Jacks, crevalles nei","Chinchards, carangues nca","Caranx spp","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,1,1
"TRF",,"False trevally","Péliau chanos","Lactarius lactarius","OTHERS","OTHERS","Lactariidae","Percoidei",0,0,0,0,1
"TRG",,"Grey triggerfish","Baliste cabri","Balistes capriscus","OTHERS","OTHERS","Balistidae","Tetraodontiformes",0,1,0,0,1
"TRI",,"Triggerfishes, durgons nei","Balistes nca","Balistidae","OTHERS","OTHERS","Balistidae","Tetraodontiformes",0,1,0,1,1
"TRK",,"Houndsharks, smoothhounds nei","Émissoles, requins-hâ nca","Triakidae","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,1,1
"TRQ",,"Mediterranean dealfish","Poisson ruban","Trachipterus trachypterus","OTHERS","OTHERS","Trachipteridae","Lampriformes",0,1,0,0,1
"TRU",,"Trumpeters nei",,"Latridae","OTHERS","OTHERS","Latridae","Percoidei",0,0,0,1,1
"TRX",,"Ribbonfishes","Trachyptères, poissons-rubans","Trachipteridae","OTHERS","OTHERS","Trachipteridae","Lampriformes",0,1,0,0,1
"TSK",,"Flapnose houndshark","Virli à clapet","Scylliogaleus quecketti","ELASMOBRANCHS","SHARKS","Triakidae","Carcharhiniformes",0,1,0,0,1
"TST",,"Sickle pomfret",,"Taractichthys steindachneri","OTHERS","OTHERS","Bramidae","Percoidei",0,1,0,0,1
"TSW",,"Strap-toothed whale","Baleine à bec de Layard","Mesoplodon layardii","OTHERS","CETACEANS","Ziphiidae","Odontoceti",0,0,1,0,1
"TTH",,"Hawksbill turtle","Tortue caret","Eretmochelys imbricata","OTHERS","TURTLES","Cheloniidae","Testudines",0,0,1,0,1
"TTL",,"Loggerhead turtle","Caouane","Caretta caretta","OTHERS","TURTLES","Cheloniidae","Testudines",0,0,1,0,1
"TTX",,"Marine turtles nei","Tortues de mer nca","Testudinata","OTHERS","TURTLES",,"Testudines",0,0,1,1,1
"TUG",,"Green turtle","Tortue verte","Chelonia mydas","OTHERS","TURTLES","Cheloniidae","Testudines",0,0,1,0,1
"TUM",,"Yellowtail scad","Sélar queue jaune","Atule mate","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"TUN",,"Tunas nei","Thonidés nca","Thunnini","TUNAS","TUNAS_NEI","Scombridae","Scombroidei",1,1,0,1,1
"TUS",,"True tunas nei","Thons Thunnus nca","Thunnus spp","TUNAS","TUNAS_NEI","Scombridae","Scombroidei",1,1,0,1,1
"TUX",,"Tuna-like fishes nei","Poissons type thon nca","Scombroidei","OTHERS","OTHERS",,"Scombroidei",1,1,0,1,1
"TWD",,"White-capped albatross","Albatros à cape blanche","Thalassarche steadi","OTHERS","SEABIRDS","Diomedeidae","Procellariiformes",0,0,1,0,1
"TWK",,"Slender ribbonfish",,"Trachipterus ishikawae","OTHERS","OTHERS","Trachipteridae","Lampriformes",0,1,0,0,1
"UBP",,"Cape fathead",,"Cubiceps capensis","OTHERS","OTHERS","Nomeidae","Stromateoidei, anabantoidei",0,0,0,0,1
"UDD",,"Whitetongue jack","Carangue langue blanche","Uraspis helvola","OTHERS","OTHERS","Carangidae","Percoidei",0,,0,0,1
"UKK",,,,"Uraspis spp","OTHERS","OTHERS","Carangidae","Percoidei",0,,0,1,1
"URU",,"Whitemouth jack","Carangue paia","Uraspis uraspis","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"USE",,"Cottonmouth jack","Carangue coton","Uraspis secunda","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"WAH",,"Wahoo","Thazard-bâtard","Acanthocybium solandri","SEERFISH","SEERFISH","Scombridae","Scombroidei",0,1,0,0,1
"WEC",,"Round scad","Comète quiaquia","Decapterus punctatus","OTHERS","OTHERS","Carangidae","Percoidei",0,0,0,0,1
"WHM",,"Atlantic white marlin","Makaire blanc de l'Atlantique","Kajikia albida","BILLFISH","BILLFISH","Istiophoridae","Scombroidei",0,0,0,0,1
"WSH",,"Great white shark","Grand requin blanc","Carcharodon carcharias","ELASMOBRANCHS","SHARKS","Lamnidae","Lamniformes",0,1,0,0,1
"YFT",,"Yellowfin tuna","Albacore","Thunnus albacares","TUNAS","TROPICAL","Scombridae","Scombroidei",1,1,0,0,1
"YMU",,"Luminous flying squid","Encornet lumineux","Symplectoteuthis luminosa","OTHERS","OTHERS","Ommastrephidae","Cephalopoda",0,0,0,0,1
"YRS",,"European barracuda","Bécune européenne","Sphyraena sphyraena","OTHERS","OTHERS","Sphyraenidae","Other perciformes",0,0,0,0,1
"YTC",,"Yellowtail amberjack","Sériole chicard","Seriola lalandi","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
"YTL",,"Longfin yellowtail","Sériole limon","Seriola rivoliana","OTHERS","OTHERS","Carangidae","Percoidei",0,1,0,0,1
